Date,Equity
13-12-2017,1061778.868
14-12-2017,1058246.259
15-12-2017,1058528.694
18-12-2017,1059503.291
19-12-2017,1056708.456
20-12-2017,1060916.596
21-12-2017,1062258.736
22-12-2017,1059483.853
25-12-2017,1060155.847
26-12-2017,1060609.826
27-12-2017,1061448.887
28-12-2017,1062185.01
29-12-2017,1066171.991
01-01-2018,1064113.225
02-01-2018,1064128.523
03-01-2018,1064556.424
04-01-2018,1065295.813
05-01-2018,1063021.393
08-01-2018,1064867.011
09-01-2018,1067801.465
10-01-2018,1066027.941
11-01-2018,1066907.868
12-01-2018,1066829.585
15-01-2018,1066829.585
16-01-2018,1066829.585
17-01-2018,1066829.585
18-01-2018,1066829.585
19-01-2018,1066829.585
22-01-2018,1066829.585
23-01-2018,1066829.585
24-01-2018,1066829.585
25-01-2018,1066829.585
26-01-2018,1066829.585
29-01-2018,1066829.585
30-01-2018,1066829.585
31-01-2018,1066829.585
01-02-2018,1066829.585
02-02-2018,1066829.585
05-02-2018,1066829.585
06-02-2018,1066829.585
07-02-2018,1066829.585
08-02-2018,1066829.585
09-02-2018,1066829.585
12-02-2018,1066829.585
13-02-2018,1066829.585
14-02-2018,1066829.585
15-02-2018,1066829.585
16-02-2018,1066829.585
19-02-2018,1066829.585
20-02-2018,1066829.585
21-02-2018,1066829.585
22-02-2018,1066829.585
23-02-2018,1066829.585
26-02-2018,1066829.585
27-02-2018,1066829.585
28-02-2018,1066829.585
01-03-2018,1066829.585
02-03-2018,1066829.585
05-03-2018,1066829.585
06-03-2018,1066829.585
07-03-2018,1066829.585
08-03-2018,1066829.585
09-03-2018,1066829.585
12-03-2018,1066829.585
13-03-2018,1066829.585
14-03-2018,1066829.585
15-03-2018,1066829.585
16-03-2018,1066829.585
19-03-2018,1066829.585
20-03-2018,1066829.585
21-03-2018,1066829.585
22-03-2018,1066829.585
23-03-2018,1066829.585
26-03-2018,1066829.585
27-03-2018,1066829.585
28-03-2018,1066829.585
29-03-2018,1066829.585
30-03-2018,1066829.585
02-04-2018,1066829.585
03-04-2018,1064340.783
04-04-2018,1067468.864
05-04-2018,1070255.621
06-04-2018,1071580.962
09-04-2018,1070528.477
10-04-2018,1072062.128
11-04-2018,1072678.468
12-04-2018,1072236.552
13-04-2018,1072156.204
16-04-2018,1072649.692
17-04-2018,1073066.285
18-04-2018,1076456.92
19-04-2018,1073520.149
20-04-2018,1077482.481
23-04-2018,1075713.526
24-04-2018,1078952.516
25-04-2018,1077450.211
26-04-2018,1080614.011
27-04-2018,1082480.355
30-04-2018,1082480.355
01-05-2018,1082480.355
02-05-2018,1082480.355
03-05-2018,1082755.163
04-05-2018,1083813.758
07-05-2018,1086321.553
08-05-2018,1086192.742
09-05-2018,1084668.416
10-05-2018,1087037.271
11-05-2018,1087069.055
14-05-2018,1086409.699
15-05-2018,1088773
16-05-2018,1087572.419
17-05-2018,1088236.035
18-05-2018,1090238.041
21-05-2018,1091490.51
22-05-2018,1091684.619
23-05-2018,1090410.373
24-05-2018,1090255.786
25-05-2018,1088735.751
28-05-2018,1088657.379
29-05-2018,1088657.379
30-05-2018,1088657.379
31-05-2018,1088657.379
01-06-2018,1088657.379
04-06-2018,1088657.379
05-06-2018,1088657.379
06-06-2018,1088657.379
07-06-2018,1088657.379
08-06-2018,1088657.379
11-06-2018,1088657.379
12-06-2018,1088657.379
13-06-2018,1088657.379
14-06-2018,1088657.379
15-06-2018,1088657.379
18-06-2018,1088657.379
19-06-2018,1088657.379
20-06-2018,1088657.379
21-06-2018,1088657.379
22-06-2018,1088657.379
25-06-2018,1088657.379
26-06-2018,1088657.379
27-06-2018,1088657.379
28-06-2018,1088657.379
29-06-2018,1088657.379
02-07-2018,1088657.379
03-07-2018,1088657.379
04-07-2018,1088657.379
05-07-2018,1088657.379
06-07-2018,1088657.379
09-07-2018,1088657.379
10-07-2018,1088657.379
11-07-2018,1088657.379
12-07-2018,1088657.379
13-07-2018,1088657.379
16-07-2018,1088657.379
17-07-2018,1088657.379
18-07-2018,1088657.379
19-07-2018,1088657.379
20-07-2018,1088657.379
23-07-2018,1088657.379
24-07-2018,1088657.379
25-07-2018,1088657.379
26-07-2018,1088657.379
27-07-2018,1088657.379
30-07-2018,1088657.379
31-07-2018,1088657.379
01-08-2018,1088657.379
02-08-2018,1088657.379
03-08-2018,1088657.379
06-08-2018,1088657.379
07-08-2018,1088657.379
08-08-2018,1088657.379
09-08-2018,1088657.379
10-08-2018,1088657.379
13-08-2018,1088657.379
14-08-2018,1088657.379
15-08-2018,1088657.379
16-08-2018,1088657.379
17-08-2018,1088657.379
20-08-2018,1088657.379
21-08-2018,1088657.379
22-08-2018,1088657.379
23-08-2018,1088657.379
24-08-2018,1088657.379
27-08-2018,1088657.379
28-08-2018,1088657.379
29-08-2018,1088657.379
30-08-2018,1088657.379
31-08-2018,1088657.379
03-09-2018,1088657.379
04-09-2018,1088657.379
05-09-2018,1088657.379
06-09-2018,1088657.379
07-09-2018,1090517.229
10-09-2018,1093222.142
11-09-2018,1089425.625
12-09-2018,1092505.318
13-09-2018,1092744.022
14-09-2018,1091410.639
17-09-2018,1090922.688
18-09-2018,1093182.709
19-09-2018,1092160.232
20-09-2018,1090708.282
21-09-2018,1095682.119
24-09-2018,1095279.82
25-09-2018,1093869.975
26-09-2018,1095226.174
27-09-2018,1095143.712
28-09-2018,1095143.712
01-10-2018,1095143.712
02-10-2018,1095143.712
03-10-2018,1095143.712
04-10-2018,1095143.712
05-10-2018,1095143.712
08-10-2018,1095143.712
09-10-2018,1095143.712
10-10-2018,1095143.712
11-10-2018,1095143.712
12-10-2018,1095143.712
15-10-2018,1095143.712
16-10-2018,1095143.712
17-10-2018,1095143.712
18-10-2018,1095143.712
19-10-2018,1095143.712
22-10-2018,1095143.712
23-10-2018,1095143.712
24-10-2018,1095143.712
25-10-2018,1095143.712
26-10-2018,1095143.712
29-10-2018,1095143.712
30-10-2018,1095143.712
31-10-2018,1095143.712
01-11-2018,1095143.712
02-11-2018,1095143.712
05-11-2018,1095143.712
06-11-2018,1095143.712
07-11-2018,1095143.712
08-11-2018,1095143.712
09-11-2018,1095143.712
12-11-2018,1095143.712
13-11-2018,1095143.712
14-11-2018,1095143.712
15-11-2018,1095143.712
16-11-2018,1095143.712
